name,mfr,calories,protein,sugars,potass,rating
100% Bran,N,70,4,6,280,68.402973
100% Natural Bran,Q,120,3,8,135,33.983679
All-Bran,K,70,4,5,320,59.425505
All-Bran with Extra Fiber,K,50,4,0,330,93.704912
Almond Delight,R,110,2,8,-1,34.384843
Apple Cinnamon Cheerios,G,110,2,10,70,29.509541
Apple Jacks,K,110,2,14,30,33.174094
Basic 4,G,130,3,8,100,37.038562
Bran Chex,R,90,2,6,125,49.120253
Bran Flakes,P,90,3,5,190,53.313813
Cap'n'Crunch,Q,120,1,12,35,18.042851
Cheerios,G,110,6,1,105,50.764999
Cinnamon Toast Crunch,G,120,1,9,45,19.823573
Clusters,G,110,3,7,105,40.400208
Cocoa Puffs,G,110,1,13,55,22.736446
Corn Chex,R,110,2,3,25,41.445019
Corn Flakes,K,100,2,2,35,45.863324
Corn Pops,K,110,1,12,20,35.782791
Count Chocula,G,110,1,13,65,22.396513
Cracklin' Oat Bran,K,110,3,7,160,40.448772
Cream of Wheat (Quick),N,100,3,0,-1,64.533816
Crispix,K,110,2,3,30,46.895644
Crispy Wheat & Raisins,G,100,2,10,120,36.176196
Double Chex,R,100,2,5,80,44.330856
Froot Loops,K,110,2,13,30,32.207582
Frosted Flakes,K,110,1,11,25,31.435973
Frosted Mini-Wheats,K,100,3,7,100,58.345141
Fruit & Fibre Dates; Walnuts; and Oats,P,120,3,10,200,40.917047
Fruitful Bran,K,120,3,12,190,41.015492
Fruity Pebbles,P,110,1,12,25,28.025765
Golden Crisp,P,100,2,15,40,35.252444
Golden Grahams,G,110,1,9,45,23.804043
Grape Nuts Flakes,P,100,3,5,85,52.076897
Grape-Nuts,P,110,3,3,90,53.371007
Great Grains Pecan,P,120,3,4,100,45.811716
Honey Graham Ohs,Q,120,1,11,45,21.871292
Honey Nut Cheerios,G,110,3,10,90,31.072217
Honey-comb,P,110,1,11,35,28.742414
Just Right Crunchy  Nuggets,K,110,2,6,60,36.523683
Just Right Fruit & Nut,K,140,3,9,95,36.471512
Kix,G,110,2,3,40,39.241114
Life,Q,100,4,6,95,45.328074
Lucky Charms,G,110,2,12,55,26.734515
Maypo,A,100,4,3,95,54.850917
Muesli Raisins; Dates; & Almonds,R,150,4,11,170,37.136863
Muesli Raisins; Peaches; & Pecans,R,150,4,11,170,34.139765
Mueslix Crispy Blend,K,160,3,13,160,30.313351
Multi-Grain Cheerios,G,100,2,6,90,40.105965
Nut&Honey Crunch,K,120,2,9,40,29.924285
Nutri-Grain Almond-Raisin,K,140,3,7,130,40.69232
Nutri-grain Wheat,K,90,3,2,90,59.642837
Oatmeal Raisin Crisp,G,130,3,10,120,30.450843
Post Nat. Raisin Bran,P,120,3,14,260,37.840594
Product 19,K,100,3,3,45,41.50354
Puffed Rice,Q,50,1,0,15,60.756112
Puffed Wheat,Q,50,2,0,50,63.005645
Quaker Oat Squares,Q,100,4,6,110,49.511874
Quaker Oatmeal,Q,100,5,-1,110,50.828392
Raisin Bran,K,120,3,12,240,39.259197
Raisin Nut Bran,G,100,3,8,140,39.7034
Raisin Squares,K,90,2,6,110,55.333142
Rice Chex,R,110,1,2,30,41.998933
Rice Krispies,K,110,2,3,35,40.560159
Shredded Wheat,N,80,2,0,95,68.235885
Shredded Wheat 'n'Bran,N,90,3,0,140,74.472949
Shredded Wheat spoon size,N,90,3,0,120,72.801787
Smacks,K,110,2,15,40,31.230054
Special K,K,110,6,3,55,53.131324
Strawberry Fruit Wheats,N,90,2,5,90,59.363993
Total Corn Flakes,G,110,2,3,35,38.839746
Total Raisin Bran,G,140,3,14,230,28.592785
Total Whole Grain,G,100,3,3,110,46.658844
Triples,G,110,2,3,60,39.106174
Trix,G,110,1,12,25,27.753301
Wheat Chex,R,100,3,3,115,49.787445
Wheaties,G,100,3,3,110,51.592193
Wheaties Honey Gold,G,110,2,8,60,36.187559
