Subject,Stimulus,mean_rt
1,Bigrams,953.0540541
1,Normal,869.1574074
1,Random,1075.876289
2,Bigrams,995.2
2,Normal,906.5333333
2,Random,1225.666667
5,Bigrams,963.9689922
5,Normal,838.9606299
5,Random,1090.806202
6,Bigrams,1140.543689
6,Normal,977.4953271
6,Random,1372.33
7,Bigrams,815.6484375
7,Normal,650.468254
7,Random,1059.625954
8,Bigrams,720.3450704
8,Normal,664.7364865
8,Random,795.8287671
9,Bigrams,815.1458333
9,Normal,769.4680851
9,Random,1054.342466
11,Bigrams,726.7608696
11,Normal,712.0674157
11,Random,809.5247525
13,Bigrams,1278.882353
13,Normal,1190.919643
13,Random,1433.557692
14,Bigrams,1000
14,Normal,929.2
14,Random,1283.663366
16,Bigrams,1005.531646
16,Normal,873.6162791
16,Random,1184.72093
18,Bigrams,757.3545455
18,Normal,676.0089286
18,Random,820.0869565
19,Bigrams,679.3507463
19,Normal,651.4632353
19,Random,782.2089552
20,Bigrams,802.5714286
20,Normal,711.1712329
20,Random,942
21,Bigrams,744.6478873
21,Normal,647.2394366
21,Random,939.3287671
22,Bigrams,1099.971631
22,Normal,1017.732394
22,Random,1167.060606
23,Bigrams,843.828125
23,Normal,787.8571429
23,Random,926.6551724
25,Bigrams,882.5362319
25,Normal,782.9555556
25,Random,1064.886364
26,Bigrams,1071.242718
26,Normal,933.5686275
26,Random,1178.717172
27,Bigrams,1278.27193
27,Normal,1104.513274
27,Random,1529.962264
29,Bigrams,699.951049
29,Normal,638.8768116
29,Random,818.95
30,Bigrams,902.8198198
30,Normal,875.6752137
30,Random,1098.33945
35,Bigrams,829.2966102
35,Normal,680.4396552
35,Random,971.3965517
37,Bigrams,665.4126984
37,Normal,588.0839695
37,Random,713.2479339
38,Bigrams,626.1089109
38,Normal,599.8484848
38,Random,746.9278351
39,Bigrams,905.14
39,Normal,735.5272727
39,Random,1012.954128
40,Bigrams,848.2195122
40,Normal,738.36
40,Random,1097.909836
41,Bigrams,961.5631068
41,Normal,903.5046729
41,Random,1094.659574
42,Bigrams,991.1911765
42,Normal,908.9069767
42,Random,1168.070866
43,Bigrams,962.012987
43,Normal,961.9642857
43,Random,1063.586667
45,Bigrams,1004.384615
45,Normal,886.8793103
45,Random,1181.868421
46,Bigrams,966.6309524
46,Normal,825.6233766
46,Random,1124.375
47,Bigrams,957.6746032
47,Normal,879.593985
47,Random,1207.217391
48,Bigrams,948.82
48,Normal,840.2169811
48,Random,1064.676471
49,Bigrams,1062.511111
49,Normal,999.702381
49,Random,1242.216867
50,Bigrams,1268.872881
50,Normal,1089.691589
50,Random,1412.229358
51,Bigrams,989.6875
51,Normal,885.4741379
51,Random,1201.565217
52,Bigrams,980.1503759
52,Normal,927.6099291
52,Random,989.3307692
